nomor,nama,status
1,jhon,
2,michael,
3,sarah,
4,emily,
5,david,
6,jessica,
7,robert,
8,lisa,
9,james,
10,anna,
11,budi,
12,citra,
13,dewi,
14,eka,
15,fajar,
16,gita,
17,hadi,
18,indah,
19,joko,
20,kartika,
21,lutfi,
22,maya,
23,nanda,
24,okta,
25,putri,
26,rizki,
27,sinta,
28,taufik,
29,umar,
30,vina,
31,wawan,
32,xena,
33,yanti,
34,zaki,
35,adam,
36,bella,
37,carlos,
38,dina,
39,elang,
40,fiona,
41,galih,
42,hana,
43,irwan,
44,julia,
45,kevin,
46,lina,
47,marco,
48,nadia,
49,oscar,
50,peter,
51,quinn,
52,rina,
53,samuel,
54,tara,
55,usman,
56,vino,
57,wulan,
58,xavier,
59,yoga,
60,zahra,
61,agung,
62,bintang,
63,candra,
64,dimas,
65,erwin,
66,farhan,
67,gilang,
68,husni,
69,ilham,
70,jajang,
71,krisna,
72,lionel,
73,mahesa,
74,noval,
75,omang,
76,panji,
77,qomar,
78,reza,
79,surya,
80,tomi,
81,ulfa,
82,viki,
83,wahyu,
84,yusuf,
85,zaril,
86,andes,
87,bangkit,
88,cakral,
89,darto,
90,endro,
91,ferry,
92,gendis,
93,hasan,
94,imelda,
95,jefri,
96,kurnia,
97,lucky,
98,mulyadi,
99,nasrul,
100,opik,
